"","pos","id","rodent","centre","tumour","slice_adc","pc_necrosis","total_cellularity","total_cellularity2","total_area","training.set","test.set","condition","group","n.adc","pi.adcgtpw","adc.mean","adc.median","adc.sd","adc.skewness","adc.kurtosis","adc.cutoff.N_BE","adc.cutoff.CT_GA","adc.cutoff.CT_NO","adc.cutoff.CV_GA","adc.cutoff.CV_NO","adc.cutoff.N_NO","adc.cutoffN","adc.cutoffCT","adc.cutoffCV","SHASH.mu","SHASH.sigma","SHASH.nu","SHASH.tau","missing","missing.A","missing.B","missing.C","missing.D","missing.E","missing.reason"
"UMH111111|JOC8_111_111|1",164,"UMH111111|JOC8_111_111|1","UMH111111","ManTx","HCT116",8,45.187,9042.3215,9738.652,52.01398,FALSE,TRUE,"HCT116Tx","Post-treatment",1680,0,0.000888396211073649,0.000830158503958955,0.000306407988745668,0.867830561961613,3.74596223417759,-2.12650102579271,-9.21034037197618,-7.4265490723973,-4.59333572834109,-4.59333572834109,-4.33550661903899,0.0130952380952381,0.000595238095238095,0.0101190476190476,0.000835205892399069,-8.21903341325984,0.190005278633253,-0.2548373048335,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMHmouse_01|KW178_C4_2_1R|1",165,"UMHmouse_01|KW178_C4_2_1R|1","UMHmouse_01","ManTx","HCT116",8,48.2394,6094.2187,6978.8395,57.29659,FALSE,TRUE,"HCT116Tx","Post-treatment",1837,0,0.00111800354958057,0.00112204952165484,0.000389584896456817,0.0994355180658976,1.96535990042258,-0.554913919901544,-7.51588908521513,-7.51588908521513,-3.77821946693176,-3.6240687871045,-3.12143993054269,0.0440936309199782,0.000544365813826892,0.0266739248775177,0.00108962904904677,-6.21239939771208,1.54721827394237,1.35963061698682,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMHmouse_02|KW178_C3_1_1L|1",166,"UMHmouse_02|KW178_C3_1_1L|1","UMHmouse_02","ManTx","HCT116",9,49.0869,5998.0777,6394.0427,47.11313,FALSE,TRUE,"HCT116Tx","Post-treatment",1237,0,0.00097694270630034,0.000928119756281375,0.00032464990939966,0.713395772531306,3.43374490590944,-1.73809256821933,-6.42729719183254,-6.42729719183254,-4.28723102833627,-4.17600539322605,-3.94239054204454,0.0194017784963622,0.00161681487469685,0.01535974130962,0.000923419259038623,-7.72625960061451,0.500673525689893,0.0345642420159277,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMHmouse_03|KW178_C4_3_1L1R|1",167,"UMHmouse_03|KW178_C4_3_1L1R|1","UMHmouse_03","ManTx","HCT116",7,44.0163,7763.4105,8896.3814,71.0544,FALSE,TRUE,"HCT116Tx","Post-treatment",2413,0,0.00104425165400745,0.000984508777037263,0.000372403019435795,0.492992318586359,3.11055202433089,-1.09916492753269,-5.59140148828881,-5.39073079282666,-3.74557479779048,-3.69428150340293,-3.36978545782843,0.0343970161624534,0.00455864069622876,0.0248653128885205,0.00100282970516785,-7.66471673000489,0.343948388462109,0.0351524945392674,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMHmouse_06|KW178_C4_4_2L|1",168,"UMHmouse_06|KW178_C4_4_2L|1","UMHmouse_06","ManTx","HCT116",9,57.5875,7962.2847,8478.5027,58.7581,FALSE,TRUE,"HCT116Tx","Post-treatment",1688,0,0.0010625583382487,0.000946786603890359,0.000388186469440944,0.704523130266811,2.59041530788194,-1.00293412357904,-6.04500531403601,-5.8218617627218,-3.15463355613985,-3.10056633486957,-2.86695148368807,0.0568720379146919,0.00296208530805687,0.0450236966824645,0.000955854607068423,-6.03083330287807,2.1685773437404,1.2599975474055,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMHmouse_07|KW178_C3_NO1_1R|1",169,"UMHmouse_07|KW178_C3_NO1_1R|1","UMHmouse_07","ManTx","HCT116",5,44.2437,7257.6442,8170.4011,45.8721,FALSE,TRUE,"HCT116Tx","Post-treatment",1288,0.00232378001549187,0.00114313076596067,0.00107760640094057,0.000389347464298229,1.16032530068534,5.14925809413895,-1.0094845087721,-3.86500904065997,-3.75964852500214,-2.87038646551591,-2.85678081346013,-2.66103623633403,0.0698757763975155,0.0232919254658385,0.0574534161490683,0.00106936907325851,-7.94613458801722,0.260532679845063,-0.250158906120297,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMHmouse_10|JOC1_C3_4_2L|1",170,"UMHmouse_10|JOC1_C3_4_2L|1","UMHmouse_10","ManTx","HCT116",11,28.1099,8758.0483,9494.8126,47.3932,FALSE,TRUE,"HCT116Tx","Post-treatment",1264,0,0.000897275425077054,0.000855619524372742,0.000233024826828961,1.74533051553117,8.06869806259249,-2.85179495976835,-9.21034037197618,-9.21034037197618,-4.6571299249188,-4.6571299249188,-4.50297924509154,0.0110759493670886,1e-04,0.00949367088607595,0.00085453081667067,-9.09134561900185,-0.124488841908327,-0.567103622024134,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMHmouse_12|JOC1_C1_5_2R|1",171,"UMHmouse_12|JOC1_C1_5_2R|1","UMHmouse_12","ManTx","HCT116",8,52.9998,5924.2447,7906.9883,52.30528,FALSE,TRUE,"HCT116Tx","Post-treatment",1442,0.000693000693000693,0.0013579812196373,0.00124597758986056,0.00056411630473653,0.551600535659141,2.27985786794837,-0.15286284964283,-2.25650648102997,-2.21754051249659,-1.41585316336144,-1.38768228639474,-1.32314376525717,0.26629680998613,0.108876560332871,0.249653259361997,0.00119577102264867,-4.86325952411005,2.9333673104182,2.08004661064784,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMHmouse_16|JOC1_C2_4_2L|1",172,"UMHmouse_16|JOC1_C2_4_2L|1","UMHmouse_16","ManTx","HCT116",10,34.9496,7299.0867,8304.7489,55.14681,FALSE,TRUE,"HCT116Tx","Post-treatment",1573,0,0.000969760569756986,0.000862053828313947,0.000348435745773591,1.06072555444792,3.68113992673016,-1.52993077560261,-5.97444554193839,-5.41482975400296,-3.69717825692863,-3.69717825692863,-3.371755856494,0.0343293070565798,0.00445009535918627,0.0247933884297521,0.000882976940244586,-7.61131808332734,0.787371375489062,-0.0210570251669242,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
"UMHmouse_17|JOC1_C1_1_1L|1",173,"UMHmouse_17|JOC1_C1_1_1L|1","UMHmouse_17","ManTx","HCT116",10,24.206,7360.7685,8047.5013,62.67673,FALSE,TRUE,"HCT116Tx","Post-treatment",1399,0,0.000966584019490159,0.000818624976091087,0.000430332896615349,1.22248799289902,3.90805666051026,-1.37649472813109,-4.19899053694206,-4.15247052130717,-2.78916567841197,-2.75487660493334,-2.63834278867739,0.0714796283059328,0.0157255182273052,0.0636168691922802,0.00084519792122838,-7.24622889229303,1.0682568784701,0.0451577073838053,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not missing"
